Botswana,General government expenditure (GGE),Million NCU,"11,536","13,671","15,710","16,276","17,383","17,632","19,737","24,823","35,150","39,490","38,417","38,668","40,736","41,730","50,564","54,411","56,275","58,393","62,351","65,408","65,843","68,679",0,0,0,0,0,0,0
Botswana,Purchasing Power Parity (NCU per Int$),0,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,0,0,0,0,0,0,0
Botswana,Exchange Rate  (NCU per US$),0,5,6,6,5,5,5,6,6,7,7,7,7,8,8,9,10,11,10,10,11,11,11,0,0,0,0,0,0,0
Botswana,Gross domestic product - Price index (2021=100),0,27,29,29,30,33,39,42,44,49,56,60,68,70,71,78,81,90,88,88,88,92,100,0,0,0,0,0,0,0
Botswana,Population (in thousands),0,"1,727","1,762","1,795","1,827","1,859","1,893","1,929","1,967","2,007","2,049","2,092","2,134","2,175","2,217","2,260","2,305","2,352","2,402","2,451","2,500","2,546","2,588",0,0,0,0,0,0,0
Kenya,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),0,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,0,0,0,0,0,0,0
Kenya,Current Health Expenditure (CHE) per Capita in US$,0,21,22,22,26,28,31,41,50,55,55,59,57,65,68,73,71,74,67,76,86,87,95,0,0,0,0,0,0,0
Kenya,Health Capital Expenditure (HK) % Gross Domestic Product (GDP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Kenya,Capital Health Expenditure (Domestic Public) as % Gross Domestic Product (GDP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,Capital Health Expenditure (External) as % Gross Domestic Product (GDP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,Current Health Expenditure (CHE),Million NCU,"50,303","55,315","57,650","65,929","76,443","84,325","109,366","129,018","150,221","172,618","193,858","216,539","239,220","261,902","294,949","327,996","361,044","338,146","382,862","447,260","479,674","550,182",0,0,0,0,0,0,0
Kenya,Domestic General Government Health Expenditure (GGHE-D),Million NCU,"13,856","15,556","16,627","18,266","19,482","22,261","25,227","31,443","38,525","47,821","56,146","66,836","77,526","88,216","110,331","132,446","154,561","145,199","165,050","205,646","236,795","268,122",0,0,0,0,0,0,0
Kenya,Domestic Private Health Expenditure (PVT-D),Million NCU,"29,464","31,906","31,991","36,667","41,416","46,202","51,108","58,664","66,363","74,170","81,872","92,705","103,538","114,371","125,571","136,771","147,971","121,643","132,990","158,827","160,274","180,673",0,0,0,0,0,0,0
Kenya,External Health Expenditure (EXT),Million NCU,"6,982","7,853","9,032","10,995","15,544","15,862","33,031","38,910","45,334","50,627","55,841","56,999","58,156","59,314","59,047","58,779","58,511","71,304","84,823","82,788","82,605","101,386",0,0,0,0,0,0,0
Kenya,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),0,86,86,84,83,80,81,70,70,70,71,71,74,76,77,80,82,84,79,78,81,83,82,0,0,0,0,0,0,0
Kenya,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),0,28,28,29,28,25,26,23,24,26,28,29,31,32,34,37,40,43,43,43,46,49,49,0,0,0,0,0,0,0
Kenya,Domestic Private Health Expenditure (PVT-D) as % Current Health Expenditure (CHE),0,59,58,55,56,54,55,47,45,44,43,42,43,43,44,43,42,41,36,35,36,33,33,0,0,0,0,0,0,0
Kenya,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),0,47,46,44,45,44,45,38,36,33,32,30,31,32,32,29,27,25,23,23,24,23,23,0,0,0,0,0,0,0
Kenya,Voluntary Prepayments as % of Current Health Expenditure (CHE),0,4,4,4,4,4,4,4,5,5,6,7,7,8,9,9,10,11,12,9,10,9,9,0,0,0,0,0,0,0
Kenya,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),0,14,14,16,17,20,19,30,30,30,29,29,26,24,23,20,18,16,21,22,19,17,18,0,0,0,0,0,0,0
Kenya,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0
Kenya,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),0,7,7,7,7,7,7,7,7,7,7,7,8,7,7,8,8,8,7,7,8,9,9,0,0,0,0,0,0,0
Kenya,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,0,6,6,6,7,7,8,9,12,14,15,17,18,21,23,27,29,32,29,33,40,43,46,0,0,0,0,0,0,0
Kenya,Domestic Private Health Expenditure (PVT-D) per Capita in US$,0,13,13,12,14,15,17,19,23,24,24,25,24,28,30,31,30,30,24,26,31,29,31,0,0,0,0,0,0,0
Kenya,Out-of-Pocket Expenditure (OOPS) per Capita in US$,0,10,10,10,12,12,14,16,18,19,17,18,18,20,22,21,19,19,16,18,21,20,22,0,0,0,0,0,0,0
Kenya,External Health Expenditure (EXT) per Capita in US$,0,3,3,3,4,6,6,12,15,17,16,17,15,16,15,15,13,12,14,17,16,15,17,0,0,0,0,0,0,0
Kenya,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,92,89,90,91,91,0,0,0,0,0,0,0
Kenya,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),0,38,39,40,37,34,33,27,28,29,29,30,33,36,38,43,46,49,45,49,47,55,57,0,0,0,0,0,0,0
Kenya,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),0,34,35,36,33,31,30,24,25,25,25,25,29,31,34,37,39,41,34,36,34,40,43,0,0,0,0,0,0,0
Kenya,Compulsory Health Insurance (CHI) as % of Current Health Expenditure (CHE),0,4,4,4,4,3,3,2,3,4,4,5,5,5,5,6,7,8,10,12,14,15,15,0,0,0,0,0,0,0
Kenya,Social Health Insurance (SHI) as % of Current Health Expenditure (CHE),0,4,4,4,4,3,3,2,3,4,4,5,5,5,5,6,7,8,10,12,14,15,15,0,0,0,0,0,0,0
Kenya,Compulsory Private Health Insurance (CHI-PVT) as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),0,62,61,60,63,66,67,73,72,71,71,70,67,64,62,57,54,51,55,51,53,45,43,0,0,0,0,0,0,0
Kenya,Voluntary Health Insurance (VHI) as % of Current Health Expenditure (CHE),0,4,4,4,4,4,4,4,5,5,6,7,7,8,9,9,10,11,12,9,10,9,9,0,0,0,0,0,0,0
Kenya,Primary Health Care (PHC) Expenditure per Capita in US$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,46,50,55,0,0,0,0,0,0,0,0,0
Kenya,Primary Health Care (PHC) Expenditure as % Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,68,66,64,0,0,0,0,0,0,0,0,0
Kenya,Domestic General Government Expenditure on PHC per Capita in US$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,18,21,0,0,0,0,0,0,0,0,0
Kenya,Domestic General Government Expenditure on PHC as % GGHE-D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58,56,52,0,0,0,0,0,0,0,0,0
Kenya,Domestic General Government Expenditure on PHC as % PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,37,36,38,0,0,0,0,0,0,0,0,0
Kenya,External Expenditure on PHC per Capita in US$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,16,15,0,0,0,0,0,0,0,0,0
Kenya,External Expenditure on PHC as % EXT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,94,94,0,0,0,0,0,0,0,0,0
Kenya,External Expenditure on PHC as % PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,30,31,27,0,0,0,0,0,0,0,0,0
Kenya,PHC (government and donors) as % of GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0
Kenya,Domestic Private Expenditure on PHC per Capita in US$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,16,19,0,0,0,0,0,0,0,0,0
Kenya,Domestic Private Expenditure on PHC as % PVTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,63,62,63,0,0,0,0,0,0,0,0,0
Kenya,Domestic Private Expenditure on PHC as % PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,33,33,35,0,0,0,0,0,0,0,0,0
Kenya,Expenditure on Immunization Programmes as % Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Kenya,Domestic General Government Expenditure on Immunization Programmes as % of Domestic General Government Expenditure on Health (GGHE-D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,External sources of funding on Immunization Programmes as % of External Health Expenditure (EXT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0
Kenya,Expenditure on Infectious and Parasitic Diseases as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,53,51,0,0,0,0,0,0,0,0,0
Kenya,Expenditure on HIV/AIDS and Sexually Transmitted Diseases (STDs) as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,19,0,0,0,0,0,0,0,0,0
Kenya,Expenditure on Tuberculosis (TB) as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0
Kenya,Expenditure on Malaria as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0
Kenya,Expenditure on Neglected Tropical Diseases (NTDs) as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,Expenditure on Reproductive Health as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,20,0,0,0,0,0,0,0,0,0
Kenya,Expenditure on Maternal Conditions as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,14,0,0,0,0,0,0,0,0,0
Kenya,Expenditure on Perinatal Conditions as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0
Kenya,Expenditure on Contraceptive Management (Family Planning) as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0
Kenya,Expenditure on Nutritional Deficiencies as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0
Kenya,Expenditure on Noncommunicable Diseases (NCDs) as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,0,0,0,0,0,0,0,0,0
Kenya,Expenditure on Injuries as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0
Kenya,Expenditure on other and unspecified diseases/conditions (n.e.c.) as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,9,0,0,0,0,0,0,0,0,0
Kenya,Domestic General Government Expenditure on Infectious and Parasitic Diseases as % of Domestic General Government Expenditure on Health (GGHE-D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,47,44,0,0,0,0,0,0,0,0,0
Kenya,Domestic General Government Expenditure on HIV/AIDS and Sexually Transmitted Diseases (STDs) as % of Domestic General Government Expenditure on Health (GGHE-D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,10,0,0,0,0,0,0,0,0,0
Kenya,Domestic General Government Expenditure on Tuberculosis (TB) as % of Domestic General Government Expenditure on Health (GGHE-D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0
Kenya,Domestic General Government Expenditure on Malaria as % of Domestic General Government Expenditure on Health (GGHE-D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,0,0,0,0,0,0,0,0,0
Kenya,Domestic General Government Expenditure on Reproductive Health as % of Domestic General Government Expenditure on Health (GGHE-D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,20,0,0,0,0,0,0,0,0,0
Kenya,Domestic General Government Expenditure on Maternal Conditions as % of Domestic General Government Expenditure on Health (GGHE-D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,15,0,0,0,0,0,0,0,0,0
Kenya,Domestic General Government Expenditure on Perinatal Conditions as % of Domestic General Government Expenditure on Health (GGHE-D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0
Kenya,Domestic General Government Expenditure on Contraceptive Management (Family Planning) as % of Domestic General Government Expenditure on Health (GGHE-D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0
Kenya,Domestic General Government Expenditure on Nutritional Deficiencies as % of Domestic General Government Expenditure on Health (GGHE-D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0
Kenya,Domestic General Government Expenditure on Noncommunicable Diseases (NCDs) as % of Domestic General Government Expenditure on Health (GGHE-D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,15,0,0,0,0,0,0,0,0,0
Kenya,Domestic General Government Expenditure on Injuries as % of Domestic General Government Expenditure on Health (GGHE-D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0
Kenya,Domestic General Government Expenditure on other and unspecified diseases/conditions (n.e.c.) as % of Domestic General Government Expenditure on Health (GGHE-D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,14,0,0,0,0,0,0,0,0,0
Kenya,External sources of funding on Infectious and Parasitic Diseases as % of External Health Expenditure (EXT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,80,81,0,0,0,0,0,0,0,0,0
Kenya,External sources of funding on HIV/AIDS and Sexually Transmitted Diseases (STDs) as % of External Health Expenditure (EXT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,60,68,0,0,0,0,0,0,0,0,0
Kenya,External sources of funding on Tuberculosis (TB) as % of External Health Expenditure (EXT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,0,0,0,0,0,0,0,0,0
Kenya,External sources of funding on Malaria as % of External Health Expenditure (EXT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,5,0,0,0,0,0,0,0,0,0
Kenya,External sources of funding on Neglected Tropical Diseases (NTDs) as % of External Health Expenditure (EXT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,External sources of funding on Reproductive Health as % of External Health Expenditure (EXT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,8,0,0,0,0,0,0,0,0,0
Kenya,External sources of funding on Maternal Conditions as % of External Health Expenditure (EXT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Kenya,External sources of funding on Perinatal Conditions as % of External Health Expenditure (EXT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,External sources of funding on Contraceptive Management (Family Planning) as % of External Health Expenditure (EXT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Kenya,External sources of funding on Nutritional Deficiencies as % of External Health Expenditure (EXT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0
Kenya,External sources of funding on Noncommunicable Diseases (NCDs) as % of External Health Expenditure (EXT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,0,0,0,0,0,0,0,0,0
Kenya,External sources of funding on Injuries as % of External Health Expenditure (EXT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,External sources of funding on other and unspecified diseases/conditions (n.e.c.) as % of External Health Expenditure (EXT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,7,0,0,0,0,0,0,0,0,0
Kenya,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),0,14,15,16,16,15,16,17,18,19,20,22,20,22,23,23,24,25,25,24,24,25,24,0,0,0,0,0,0,0
Kenya,Gross Domestic Product (GDP) per Capita in US$,0,590,588,581,633,655,734,803,965,"1,048","1,049","1,094","1,099","1,290","1,377","1,490","1,497","1,562","1,676","1,846","1,970","1,936","2,082",0,0,0,0,0,0,0
Kenya,Current health expenditure by revenues of health care financing schemes,Million NCU,"50,303","55,315","57,650","65,929","76,443","84,325","109,366","129,018","150,221","172,618","193,858","216,539","239,220","261,902","294,949","327,996","361,044","338,146","382,862","447,260","479,674","550,182",0,0,0,0,0,0,0
Kenya,Transfers from government domestic revenue (allocated to health purposes),Million NCU,"11,927","13,390","14,311","15,872","17,008","19,708","22,594","27,255","32,782","40,523","47,292","56,983","66,675","76,366","92,938","109,511","126,731","142,273","160,046","199,335","230,082","260,829",0,0,0,0,0,0,0
Kenya,Internal transfers and grants,Million NCU,"11,927","13,390","14,311","15,872","17,008","19,708","22,594","27,255","32,782","40,523","47,292","56,983","66,675","76,366","92,938","109,511","126,083","103,954","117,485","137,113","158,262","179,411",0,0,0,0,0,0,0
Kenya,Transfers by government on behalf of specific groups,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,"31,903","42,561","55,442","63,994","72,546",0,0,0,0,0,0,0
Kenya,Subsidies,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,Other transfers from government domestic revenue,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,417",0,"6,780","7,826","8,872",0,0,0,0,0,0,0
Kenya,Transfers distributed by government from foreign origin,Million NCU,"5,386","5,946","6,252","6,148","6,563","5,417","4,082","5,009","5,070","2,917","4,606","5,107","8,479","12,955","15,742","19,634","23,526","12,010","21,443","13,101","33,736","56,001",0,0,0,0,0,0,0
Kenya,Social insurance contributions,Million NCU,"1,929","2,166","2,315","2,395","2,474","2,553","2,633","4,188","5,743","7,298","8,853","9,852","10,852","11,851","17,393","22,936","27,830","2,926","5,004","6,311","6,713","7,293",0,0,0,0,0,0,0
Kenya,"Compulsory prepayment (Other, and unspecified, than FS.3)",Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,Voluntary prepayment,Million NCU,"2,043","2,212","2,218","2,626","3,034","3,442","3,849","6,042","8,234","10,426","12,619","15,996","19,373","22,750","28,005","33,260","38,515","40,890","33,625","43,749","44,733","50,424",0,0,0,0,0,0,0
Kenya,Other domestic revenues n.e.c.,Million NCU,"27,421","29,694","29,773","34,041","38,382","42,761","47,258","52,623","58,129","63,744","69,253","76,709","84,165","91,621","97,566","103,511","109,456","80,754","99,365","112,913","115,541","130,249",0,0,0,0,0,0,0
Kenya,Other revenues from households n.e.c.,Million NCU,"23,538","25,489","25,557","29,675","33,793","37,912","42,030","46,149","50,267","54,385","58,504","67,054","75,604","84,154","86,189","88,224","90,260","78,722","89,456","108,683","111,126","125,266",0,0,0,0,0,0,0
Kenya,Other revenues from corporations n.e.c.,Million NCU,"2,097","2,270","2,277","2,286","2,296","2,305","2,315","3,169","4,023","4,877","5,731","3,978","2,225",472,"3,697","6,921","10,146","1,480","9,302","3,736","3,911","4,415",0,0,0,0,0,0,0
Kenya,Other revenues from NPISH n.e.c.,Million NCU,"1,786","1,934","1,939","2,080","2,293","2,544","2,913","3,305","3,839","4,482","5,019","5,677","6,336","6,995","7,680","8,365","9,050",551,607,493,504,568,0,0,0,0,0,0,0
Kenya,Unspecified other domestic revenues (n.e.c.),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kenya,Direct foreign transfers,Million NCU,"1,597","1,907","2,780","4,848","8,981","10,446","28,949","33,902","40,264","47,710","51,234","51,891","49,677","46,359","43,304","39,145","34,986","59,294","63,380","69,687","48,868","45,386",0,0,0,0,0,0,0
Kenya,Unspecified revenues of health care financing schemes (n.e.c.),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,164",0,0,0,0,0,0,0,0,0
Kenya,Current health expenditure by financing schemes,Million NCU,"50,303","55,315","57,650","65,929","76,443","84,325","109,366","129,018","150,221","172,618","193,858","216,539","239,220","261,902","294,949","327,996","361,044","338,146","382,862","447,260","479,674","550,182",0,0,0,0,0,0,0
Kenya,Government schemes and compulsory contributory health care financing schemes,Million NCU,"19,242","21,502","22,879","24,414","26,046","27,677","29,309","36,452","43,595","50,738","57,881","71,943","86,005","100,067","126,074","152,080","178,087","150,792","186,493","211,967","262,705","315,250",0,0,0,0,0,0,0
Kenya,Government schemes,Million NCU,"17,312","19,336","20,563","22,019","23,572","25,124","26,676","32,264","37,852","43,440","49,028","62,091","75,153","88,216","108,681","129,145","149,609","115,964","138,928","150,214","191,998","235,412",0,0,0,0,0,0,0
Kenya,Compulsory contributory health insurance schemes,Million NCU,"1,929","2,166","2,315","2,395","2,474","2,553","2,633","4,188","5,743","7,298","8,853","9,852","10,852","11,851","17,393","22,936","28,478","34,828","47,565","61,753","70,707","79,839",0,0,0,0,0,0,0
Kenya,Social health insurance schemes,Million NCU,"1,929","2,166","2,315","2,395","2,474","2,553","2,633","4,188","5,743","7,298","8,853","9,852","10,852","11,851","17,393","22,936","28,478","34,828","47,565","61,753","70,707","79,839",0,0,0,0,0,0,0
Kenya,Compulsory private insurance schemes,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,Compulsory Medical Saving Accounts (CMSA),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,Voluntary health care payment schemes,Million NCU,"7,523","8,324","9,215","11,839","16,604","18,736","38,027","46,417","56,360","67,494","77,474","77,542","77,611","77,680","82,686","87,691","92,697","108,631","106,914","126,610","105,842","109,666",0,0,0,0,0,0,0
Kenya,Voluntary health insurance schemes,Million NCU,"2,043","2,212","2,218","2,626","3,034","3,442","3,849","6,042","8,234","10,426","12,619","15,996","19,373","22,750","28,005","33,260","38,515","40,890","33,625","43,749","44,733","50,424",0,0,0,0,0,0,0
Kenya,NPISH financing schemes (including development agencies),Million NCU,"3,383","3,841","4,720","6,927","11,274","12,989","31,863","36,148","41,985","49,015","54,889","52,733","50,577","48,420","46,959","45,497","44,036","66,262","63,987","79,125","57,199","54,826",0,0,0,0,0,0,0
Kenya,Enterprise financing schemes,Million NCU,"2,097","2,270","2,277","2,286","2,296","2,305","2,315","4,227","6,140","8,053","9,966","8,814","7,662","6,510","7,722","8,934","10,146","1,480","9,302","3,736","3,911","4,415",0,0,0,0,0,0,0
Kenya,Household out-of-pocket payments (OOPS),Million NCU,"23,538","25,489","25,557","29,675","33,793","37,912","42,030","46,149","50,267","54,385","58,504","67,054","75,604","84,154","86,189","88,224","90,260","78,722","89,456","108,683","111,126","125,266",0,0,0,0,0,0,0
Kenya,Current health expenditure by Health Care Functions,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"361,044","338,146","382,862","447,260",0,0,0,0,0,0,0,0,0
Kenya,Curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"256,280","234,207","250,874","298,433",0,0,0,0,0,0,0,0,0
Kenya,Inpatient curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"102,133","89,744","100,968","128,545",0,0,0,0,0,0,0,0,0
Kenya,Day curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,356",0,0,0,0,0,0,0,0,0,0
Kenya,Outpatient curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"154,053","144,348","146,486","168,997",0,0,0,0,0,0,0,0,0
Kenya,General outpatient curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"153,878","144,177","145,944","165,518",0,0,0,0,0,0,0,0,0
Kenya,Dental outpatient curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,13,0,0,0,0,0,0,0,0,0
Kenya,Specialised outpatient curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,169,542,"3,458",0,0,0,0,0,0,0,0,0
Kenya,Unspecified outpatient curative care (n.e.c.),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
Kenya,Home-based curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,115,64,890,0,0,0,0,0,0,0,0,0
Kenya,Rehabilitative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,339","3,898","4,103","4,781",0,0,0,0,0,0,0,0,0
Kenya,Ancillary services (non-specified by function),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,157","3,711","4,406","5,223",0,0,0,0,0,0,0,0,0
Kenya,Medical goods (non-specified by function),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,970","4,945","5,432","6,343",0,0,0,0,0,0,0,0,0
Kenya,Pharmaceuticals and Other medical durable goods,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,967","4,941","5,432","6,343",0,0,0,0,0,0,0,0,0
Kenya,Unspecified medical goods (n.e.c.),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
Kenya,Preventive care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"43,895","48,108","69,254","72,213",0,0,0,0,0,0,0,0,0
Kenya,"Information, education and counseling (IEC) programmes",Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,057","9,804","14,282","16,866",0,0,0,0,0,0,0,0,0
Kenya,Immunization Programmes,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,092","1,259","2,922","2,997",0,0,0,0,0,0,0,0,0
